iter	Logloss	Accuracy
761	0.1485812572	0.9564230595
762	0.1484721121	0.9573309124
763	0.1483182549	0.9573309124
764	0.1480713066	0.9573309124
765	0.1479309345	0.9573309124
766	0.1478390232	0.9573309124
767	0.1477689586	0.9573309124
768	0.147653418	0.9573309124
769	0.1475570209	0.9577848389
770	0.1475381822	0.9577848389
771	0.1473732576	0.9582387653
772	0.1472864123	0.9582387653
773	0.1471155898	0.9582387653
774	0.1470174081	0.9582387653
775	0.1468460655	0.9577848389
776	0.1466986475	0.9577848389
777	0.1465617412	0.9577848389
778	0.1463961412	0.9582387653
779	0.1462315078	0.9582387653
780	0.1460901426	0.9582387653
781	0.1459311177	0.9582387653
782	0.1456724649	0.9586926918
783	0.1455546083	0.9586926918
784	0.1454732933	0.9582387653
785	0.145285709	0.9582387653
786	0.1451039571	0.9582387653
787	0.144995737	0.9582387653
788	0.1447776507	0.9586926918
789	0.1446698604	0.9586926918
790	0.1445117295	0.9591466182
791	0.1444110552	0.9591466182
792	0.1443220601	0.9591466182
793	0.1441377318	0.9591466182
794	0.1439134697	0.9591466182
795	0.1438269343	0.9591466182
796	0.1437381582	0.9591466182
797	0.1436820349	0.9591466182
798	0.1436786788	0.9591466182
799	0.1435426317	0.9591466182
800	0.1435391164	0.9591466182
801	0.1434468419	0.9591466182
802	0.1433117116	0.9591466182
803	0.1431608983	0.9591466182
804	0.1430864578	0.9591466182
805	0.1430207997	0.9591466182
806	0.1428722231	0.9591466182
807	0.1427716093	0.9591466182
808	0.1426613432	0.9591466182
809	0.1425905296	0.9591466182
810	0.1424170116	0.9591466182
811	0.1422799696	0.9596005447
812	0.1421158863	0.9596005447
813	0.1420149094	0.9596005447
814	0.1418795615	0.9596005447
815	0.1417335774	0.9596005447
816	0.1416100264	0.9596005447
817	0.1415419211	0.9596005447
818	0.1414461033	0.9596005447
819	0.1413754962	0.9596005447
820	0.1412428949	0.9596005447
821	0.1411537151	0.9596005447
822	0.1410221053	0.9596005447
823	0.1409309359	0.9609623241
824	0.1408361227	0.9609623241
825	0.1407358554	0.9609623241
826	0.1405605327	0.9609623241
827	0.1404635209	0.9609623241
828	0.1403898628	0.9609623241
829	0.1402900705	0.9609623241
830	0.1400619218	0.9609623241
831	0.14005205	0.9609623241
832	0.1399147194	0.9609623241
833	0.1398169878	0.9609623241
834	0.1395597463	0.9609623241
835	0.1394553325	0.9609623241
836	0.1393084636	0.9609623241
837	0.139208832	0.9609623241
838	0.1390815365	0.9609623241
839	0.1389445126	0.9609623241
840	0.1388290528	0.9609623241
841	0.1387246767	0.9609623241
842	0.1385086966	0.9609623241
843	0.1383541684	0.9614162506
844	0.1381264966	0.9614162506
845	0.1380729202	0.9614162506
846	0.1378220829	0.9614162506
847	0.1376899236	0.9614162506
848	0.1375210056	0.961870177
849	0.1374248581	0.961870177
850	0.1374157131	0.961870177
851	0.1372882524	0.961870177
852	0.1371581487	0.961870177
853	0.1370424794	0.961870177
854	0.1369125996	0.961870177
855	0.1368042339	0.961870177
856	0.1367063018	0.961870177
857	0.1366502705	0.961870177
858	0.1366230658	0.961870177
859	0.1365202578	0.961870177
860	0.1364722921	0.961870177
861	0.1362615853	0.961870177
862	0.1361318187	0.961870177
863	0.1360054785	0.9623241035
864	0.1359140298	0.9623241035
865	0.1358299304	0.9623241035
866	0.1357440542	0.9623241035
867	0.1354788013	0.9623241035
868	0.1354754034	0.9623241035
869	0.1352515149	0.961870177
870	0.1351686938	0.961870177
871	0.1350459951	0.961870177
872	0.1348484168	0.9623241035
873	0.1346461614	0.9623241035
874	0.1345625779	0.9623241035
875	0.1344676759	0.9623241035
876	0.1343496662	0.9632319564
877	0.1343496644	0.9632319564
878	0.1342303218	0.9632319564
